timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-11 17:43:16,691,50,81,89,-5.0,2.08
2021-04-11 17:43:16,709,50,81,89,-5.0,2.02
2021-04-11 17:43:16,726,50,81,89,-5.0,2.08
2021-04-11 17:43:16,744,50,81,89,-5.0,2.02
2021-04-11 17:43:16,762,50,81,89,-5.0,2.02
2021-04-11 17:43:16,779,50,81,90,-5.0,2.08
2021-04-11 17:43:16,797,50,81,90,-5.0,2.02
2021-04-11 17:43:16,815,50,81,90,-5.0,2.08
2021-04-11 17:43:16,833,50,93,90,-5.0,3.2199999999999998
2021-04-11 17:43:16,850,50,93,90,-5.0,3.2199999999999998
2021-04-11 17:43:16,867,50,93,90,-5.0,3.28
2021-04-11 17:43:16,885,50,93,90,-5.0,3.2199999999999998
2021-04-11 17:43:16,902,50,93,90,-5.0,3.28
2021-04-11 17:43:16,919,50,93,90,-5.0,3.28
2021-04-11 17:43:16,937,50,93,90,-5.0,3.2199999999999998
2021-04-11 17:43:16,954,50,93,91,-5.0,3.28
2021-04-11 17:43:16,973,50,93,91,-5.0,3.1599999999999997
2021-04-11 17:43:16,996,50,93,91,-5.0,2.92
2021-04-11 17:43:17,015,50,93,91,-5.0,3.1599999999999997
2021-04-11 17:43:17,034,50,93,91,-5.0,3.1599999999999997
2021-04-11 17:43:17,052,50,93,91,-5.0,3.2199999999999998
2021-04-11 17:43:17,070,50,93,91,-5.0,3.2199999999999998
2021-04-11 17:43:17,087,50,93,91,-5.0,3.28
2021-04-11 17:43:17,104,50,93,91,-5.0,3.28
2021-04-11 17:43:17,121,50,93,91,-5.0,3.28
2021-04-11 17:43:17,139,50,93,92,-5.0,3.2199999999999998
2021-04-11 17:43:17,156,50,93,92,-5.0,3.28
2021-04-11 17:43:17,173,50,93,92,-5.0,3.28
2021-04-11 17:43:17,190,50,93,92,-5.0,3.28
2021-04-11 17:43:17,207,50,93,92,-5.0,3.28
2021-04-11 17:43:17,224,50,93,92,-5.0,3.28
2021-04-11 17:43:17,241,50,93,92,-5.0,3.28
2021-04-11 17:43:17,258,50,93,92,-5.0,3.28
2021-04-11 17:43:17,276,50,93,92,-5.0,3.28
2021-04-11 17:43:17,294,50,93,92,-5.0,3.1599999999999997
2021-04-11 17:43:17,312,50,93,93,-5.0,3.2199999999999998
2021-04-11 17:43:17,329,50,93,93,-5.0,3.28
2021-04-11 17:43:17,346,50,93,93,-5.0,3.28
2021-04-11 17:43:17,363,50,93,93,-5.0,3.28
2021-04-11 17:43:17,380,50,93,93,-5.0,3.28
2021-04-11 17:43:17,398,50,93,93,-5.0,3.2199999999999998
2021-04-11 17:43:17,415,50,93,93,-5.0,3.28
2021-04-11 17:43:17,433,50,93,93,-5.0,3.28
2021-04-11 17:43:17,450,50,93,93,-5.0,3.2199999999999998
2021-04-11 17:43:17,467,50,93,93,-5.0,3.28
2021-04-11 17:43:17,483,50,93,94,-5.0,3.34
2021-04-11 17:43:17,500,50,93,94,-5.0,3.28
2021-04-11 17:43:17,517,50,93,94,-5.0,3.28
2021-04-11 17:43:17,534,50,93,94,-5.0,3.28
